"dscode"	"dcode"	"scode"	"scodeyear"	"year"	"pt"	"fhcl"	"fhpr"	"bdbest"	"poltot"	"polacc"	"polpro"	"polwel"	"unp"	"lnapps"	"lnsttot"	"lngdpsource"	"lngdpdest"	"lndist"
"47"	103	1	3	201103	2011	3	5	6	269	4	2	1	1	5.09999990463257	1.7917594909668	6.79794025421143	8.74766445159912	10.6651105880737	2.83068060874939
"48"	103	1	3	201203	2012	2	5	6	250	4	2	1	1	5.19999980926514	1.7917594909668	6.79794025421143	8.7590970993042	10.6988306045532	2.83068060874939
"49"	107	1	7	199707	1997	3.5	4	2	0	0	0	0	0	8.5	5.00394630432129	8.7430534362793	6.74984931945801	10.0910453796387	2.18997621536255
"50"	107	1	7	199807	1998	3	4	2	0	0	0	0	0	7.69999980926514	5.08759641647339	8.7430534362793	6.78214693069458	10.1464729309082	2.18997621536255
"51"	107	1	7	199907	1999	3	4	3	0	0	0	0	0	6.90000009536743	5.33753824234009	8.7430534362793	6.79109764099121	10.1967544555664	2.18997621536255
"52"	107	1	7	200007	2000	3	4	3	0	2	0	1	1	6.30000019073486	6.02344751358032	8.7430534362793	6.81088066101074	10.2396383285522	2.18997621536255
"53"	107	1	7	200107	2001	3.5	4	3	0	3.25	0.5	1.5	1.25	6.80000019073486	6.1114673614502	8.7430534362793	6.84175443649292	10.2815132141113	2.18997621536255
"54"	107	1	7	200207	2002	3.5	4	4	0	7	2	3	2	6.40000009536743	5.8021183013916	8.7430534362793	6.90879487991333	10.3193979263306	2.18997621536255
"55"	107	1	7	200307	2003	3.5	4	4	0	7	2	3	2	5.90000009536743	5.44673728942871	8.7430534362793	6.9365177154541	10.3666868209839	2.18997621536255
"56"	107	1	7	200407	2004	4	4	4	0	7	2	3	2	5.40000009536743	5.60211896896362	8.7430534362793	6.96514654159546	10.4123811721802	2.18997621536255
"57"	107	1	7	200507	2005	4	4	4	62	7	2	3	2	5	5.31812000274658	8.7430534362793	6.98982381820679	10.4598979949951	2.18997621536255
"58"	107	1	7	200607	2006	4	4	4	57	7	2	3	2	4.80000019073486	5.59471130371094	8.7430534362793	7.02875995635986	10.5158042907715	2.18997621536255
"59"	107	1	7	200707	2007	4	4	5	0	7	2	3	2	4.40000009536743	5.43372201919556	8.7430534362793	7.06426334381104	10.5647058486938	2.18997621536255
"60"	107	1	7	200807	2008	4	4	4	0	5.25	2	2	1.25	4.19999980926514	5.68697547912598	8.7430534362793	7.11576890945435	10.572060585022	2.18997621536255
"61"	107	1	7	200907	2009	4	4	3	0	4	2	1	1	5.59999990463257	4.94876003265381	8.7430534362793	7.16735410690308	10.6087608337402	2.18997621536255
"62"	107	1	7	201007	2010	4	4	3	0	4	2	1	1	5.19999980926514	4.94164228439331	8.7430534362793	7.22330284118652	10.6349658966064	2.18997621536255
"63"	107	1	7	201107	2011	3.5	4	3	0	4	2	1	1	5.09999990463257	5.39816284179688	8.7430534362793	7.27562427520752	10.6651105880737	2.18997621536255
"64"	107	1	7	201207	2012	3.5	4	3	0	4	2	1	1	5.19999980926514	5.53338956832886	8.7430534362793	7.32480049133301	10.6988306045532	2.18997621536255
"65"	110	1	10	199710	1997	4	7	7	0	0	0	0	0	8.5	7.09257364273071	11.6714839935303	7.7302360534668	10.0910453796387	2.18616366386414
"66"	110	1	10	199810	1998	4.5	6	7	0	0	0	0	0	7.69999980926514	6.99576616287231	11.6714839935303	7.79981088638306	10.1464729309082	2.18616366386414
"67"	110	1	10	199910	1999	4	6	7	0	0	0	0	0	6.90000009536743	6.86589097976685	11.6714839935303	7.86954307556152	10.1967544555664	2.18616366386414
